q,h,dh,l,dl,f,df,s,m
   0, 0.000000, 0.000000,1100.036986,-1.099528,-1100.036986, 1.099528,1100.036986,1100.036986
   1, 0.000003, 0.000005,1098.937461,-1.099522,-1098.937458, 1.099528,1098.937463,1098.937461
   2, 0.000010, 0.000010,1097.837941,-1.099517,-1097.837931, 1.099527,1097.837951,1097.837941
   3, 0.000023, 0.000016,1096.738427,-1.099511,-1096.738404, 1.099527,1096.738451,1096.738427
   4, 0.000042, 0.000021,1095.638919,-1.099505,-1095.638878, 1.099526,1095.638961,1095.638919
   5, 0.000066, 0.000027,1094.539418,-1.099499,-1094.539352, 1.099525,1094.539483,1094.539418
   6, 0.000095, 0.000032,1093.439922,-1.099493,-1093.439827, 1.099525,1093.440016,1093.439922
   7, 0.000130, 0.000038,1092.340432,-1.099487,-1092.340302, 1.099524,1092.340561,1092.340432
   8, 0.000170, 0.000043,1091.240948,-1.099481,-1091.240778, 1.099524,1091.241118,1091.240948
   9, 0.000216, 0.000049,1090.141470,-1.099475,-1090.141254, 1.099523,1090.141686,1090.141470
  10, 0.000268, 0.000055,1089.041999,-1.099468,-1089.041731, 1.099523,1089.042266,1089.041999
  11, 0.000325, 0.000060,1087.942534,-1.099462,-1087.942209, 1.099522,1087.942859,1087.942534
  12, 0.000388, 0.000066,1086.843075,-1.099455,-1086.842687, 1.099522,1086.843463,1086.843075
  13, 0.000457, 0.000072,1085.743623,-1.099449,-1085.743166, 1.099521,1085.744080,1085.743623
  14, 0.000532, 0.000078,1084.644177,-1.099442,-1084.643645, 1.099520,1084.644710,1084.644177
  15, 0.000613, 0.000084,1083.544738,-1.099436,-1083.544125, 1.099520,1083.545352,1083.544738
  16, 0.000701, 0.000090,1082.445306,-1.099429,-1082.444605, 1.099519,1082.446006,1082.445306
  17, 0.000794, 0.000096,1081.345880,-1.099422,-1081.345086, 1.099519,1081.346674,1081.345880
  18, 0.000893, 0.000103,1080.246461,-1.099415,-1080.245568, 1.099518,1080.247355,1080.246461
  19, 0.000999, 0.000109,1079.147049,-1.099408,-1079.146050, 1.099517,1079.148048,1079.147049
  20, 0.001111, 0.000115,1078.047644,-1.099401,-1078.046533, 1.099517,1078.048756,1078.047644
  21, 0.001230, 0.000122,1076.948246,-1.099394,-1076.947016, 1.099516,1076.949476,1076.948246
  22, 0.001355, 0.000128,1075.848855,-1.099387,-1075.847500, 1.099516,1075.850210,1075.848855
  23, 0.001487, 0.000135,1074.749472,-1.099380,-1074.747985, 1.099515,1074.750959,1074.749472
  24, 0.001625, 0.000142,1073.650095,-1.099373,-1073.648471, 1.099514,1073.651720,1073.650095
  25, 0.001770, 0.000148,1072.550727,-1.099365,-1072.548957, 1.099514,1072.552496,1072.550727
  26, 0.001922, 0.000155,1071.451365,-1.099358,-1071.449443, 1.099513,1071.453287,1071.451365
  27, 0.002080, 0.000162,1070.352011,-1.099350,-1070.349931, 1.099512,1070.354091,1070.352011
  28, 0.002246, 0.000169,1069.252665,-1.099343,-1069.250419, 1.099512,1069.254910,1069.252665
  29, 0.002418, 0.000176,1068.153326,-1.099335,-1068.150907, 1.099511,1068.155744,1068.153326
  30, 0.002598, 0.000183,1067.053995,-1.099327,-1067.051397, 1.099510,1067.056593,1067.053995
  31, 0.002785, 0.000190,1065.954672,-1.099319,-1065.951887, 1.099510,1065.957457,1065.954672
  32, 0.002979, 0.000198,1064.855357,-1.099311,-1064.852378, 1.099509,1064.858336,1064.855357
  33, 0.003180, 0.000205,1063.756049,-1.099303,-1063.752869, 1.099508,1063.759230,1063.756049
  34, 0.003389, 0.000212,1062.656750,-1.099295,-1062.653361, 1.099507,1062.660139,1062.656750
  35, 0.003605, 0.000220,1061.557460,-1.099287,-1061.553854, 1.099507,1061.561065,1061.557460
  36, 0.003829, 0.000228,1060.458177,-1.099278,-1060.454348, 1.099506,1060.462006,1060.458177
  37, 0.004061, 0.000235,1059.358903,-1.099270,-1059.354842, 1.099505,1059.362963,1059.358903
  38, 0.004300, 0.000243,1058.259637,-1.099261,-1058.255337, 1.099504,1058.263937,1058.259637
  39, 0.004547, 0.000251,1057.160380,-1.099253,-1057.155833, 1.099504,1057.164927,1057.160380
  40, 0.004801, 0.000259,1056.061131,-1.099244,-1056.056330, 1.099503,1056.065933,1056.061131
  41, 0.005064, 0.000267,1054.961892,-1.099235,-1054.956827, 1.099502,1054.966956,1054.961892
  42, 0.005335, 0.000275,1053.862661,-1.099226,-1053.857326, 1.099501,1053.867996,1053.862661
  43, 0.005614, 0.000283,1052.763439,-1.099217,-1052.757825, 1.099501,1052.769053,1052.763439
  44, 0.005901, 0.000291,1051.664226,-1.099208,-1051.658325, 1.099500,1051.670127,1051.664226
  45, 0.006197, 0.000300,1050.565022,-1.099199,-1050.558825, 1.099499,1050.571219,1050.565022
  46, 0.006501, 0.000308,1049.465827,-1.099190,-1049.459327, 1.099498,1049.472328,1049.465827
  47, 0.006813, 0.000317,1048.366642,-1.099181,-1048.359829, 1.099497,1048.373455,1048.366642
  48, 0.007134, 0.000325,1047.267466,-1.099171,-1047.260332, 1.099496,1047.274600,1047.267466
  49, 0.007464, 0.000334,1046.168300,-1.099162,-1046.160836, 1.099496,1046.175763,1046.168300
  50, 0.007802, 0.000343,1045.069143,-1.099152,-1045.061341, 1.099495,1045.076945,1045.069143
  51, 0.008150, 0.000352,1043.969996,-1.099142,-1043.961846, 1.099494,1043.978145,1043.969996
  52, 0.008506, 0.000361,1042.870859,-1.099132,-1042.862353, 1.099493,1042.879365,1042.870859
  53, 0.008871, 0.000370,1041.771731,-1.099122,-1041.762860, 1.099492,1041.780603,1041.771731
  54, 0.009246, 0.000379,1040.672614,-1.099112,-1040.663369, 1.099491,1040.681860,1040.672614
  55, 0.009629, 0.000388,1039.573507,-1.099102,-1039.563878, 1.099490,1039.583136,1039.573507
  56, 0.010022, 0.000398,1038.474410,-1.099092,-1038.464388, 1.099489,1038.484433,1038.474410
  57, 0.010425, 0.000407,1037.375324,-1.099081,-1037.364899, 1.099489,1037.385748,1037.375324
  58, 0.010837, 0.000417,1036.276248,-1.099071,-1036.265411, 1.099488,1036.287084,1036.276248
  59, 0.011258, 0.000427,1035.177182,-1.099060,-1035.165924, 1.099487,1035.188441,1035.177182
  60, 0.011690, 0.000436,1034.078127,-1.099049,-1034.066437, 1.099486,1034.089817,1034.078127
  61, 0.012131, 0.000446,1032.979083,-1.099039,-1032.966952, 1.099485,1032.991214,1032.979083
  62, 0.012582, 0.000456,1031.880050,-1.099028,-1031.867468, 1.099484,1031.892633,1031.880050
  63, 0.013044, 0.000466,1030.781028,-1.099017,-1030.767985, 1.099483,1030.794072,1030.781028
  64, 0.013515, 0.000477,1029.682017,-1.099005,-1029.668502, 1.099482,1029.695532,1029.682017
  65, 0.013997, 0.000487,1028.583018,-1.098994,-1028.569021, 1.099481,1028.597014,1028.583018
  66, 0.014489, 0.000497,1027.484029,-1.098983,-1027.469541, 1.099480,1027.498518,1027.484029
  67, 0.014991, 0.000508,1026.385052,-1.098971,-1026.370061, 1.099479,1026.400044,1026.385052
  68, 0.015504, 0.000518,1025.286087,-1.098959,-1025.270583, 1.099478,1025.301591,1025.286087
  69, 0.016028, 0.000529,1024.187134,-1.098948,-1024.171106, 1.099477,1024.203162,1024.187134
  70, 0.016563, 0.000540,1023.088192,-1.098936,-1023.071630, 1.099476,1023.104755,1023.088192
  71, 0.017108, 0.000551,1021.989263,-1.098924,-1021.972155, 1.099475,1022.006371,1021.989263
  72, 0.017665, 0.000562,1020.890345,-1.098911,-1020.872680, 1.099474,1020.908010,1020.890345
  73, 0.018232, 0.000573,1019.791440,-1.098899,-1019.773207, 1.099472,1019.809672,1019.791440
  74, 0.018811, 0.000585,1018.692547,-1.098887,-1018.673736, 1.099471,1018.711358,1018.692547
  75, 0.019402, 0.000596,1017.593666,-1.098874,-1017.574265, 1.099470,1017.613068,1017.593666
  76, 0.020003, 0.000608,1016.494799,-1.098861,-1016.474795, 1.099469,1016.514802,1016.494799
  77, 0.020617, 0.000619,1015.395943,-1.098849,-1015.375327, 1.099468,1015.416560,1015.395943
  78, 0.021242, 0.000631,1014.297101,-1.098836,-1014.275859, 1.099467,1014.318343,1014.297101
  79, 0.021879, 0.000643,1013.198272,-1.098823,-1013.176393, 1.099466,1013.220151,1013.198272
  80, 0.022528, 0.000655,1012.099456,-1.098809,-1012.076928, 1.099465,1012.121984,1012.099456
  81, 0.023189, 0.000667,1011.000653,-1.098796,-1010.977464, 1.099463,1011.023842,1011.000653
  82, 0.023863, 0.000679,1009.901864,-1.098783,-1009.878001, 1.099462,1009.925726,1009.901864
  83, 0.024548, 0.000692,1008.803088,-1.098769,-1008.778540, 1.099461,1008.827636,1008.803088
  84, 0.025246, 0.000704,1007.704326,-1.098755,-1007.679079, 1.099460,1007.729572,1007.704326
  85, 0.025957, 0.000717,1006.605577,-1.098741,-1006.579620, 1.099458,1006.631534,1006.605577
  86, 0.026681, 0.000730,1005.506843,-1.098727,-1005.480162, 1.099457,1005.533524,1005.506843
  87, 0.027417, 0.000743,1004.408123,-1.098713,-1004.380706, 1.099456,1004.435540,1004.408123
  88, 0.028166, 0.000756,1003.309417,-1.098699,-1003.281250, 1.099455,1003.337583,1003.309417
  89, 0.028929, 0.000769,1002.210725,-1.098684,-1002.181796, 1.099453,1002.239654,1002.210725
  90, 0.029705, 0.000782,1001.112048,-1.098670,-1001.082343, 1.099452,1001.141753,1001.112048
  91, 0.030494, 0.000796,1000.013386,-1.098655,-999.982892, 1.099451,1000.043880,1000.013386
  92, 0.031297, 0.000810,998.914738,-1.098640,-998.883442, 1.099450,998.946035,998.914738
  93, 0.032113, 0.000823,997.816106,-1.098625,-997.783993, 1.099448,997.848219,997.816106
  94, 0.032943, 0.000837,996.717488,-1.098610,-996.684545, 1.099447,996.750431,996.717488
  95, 0.033787, 0.000851,995.618886,-1.098594,-995.585099, 1.099446,995.652673,995.618886
  96, 0.034645, 0.000865,994.520300,-1.098579,-994.485654, 1.099444,994.554945,994.520300
  97, 0.035518, 0.000880,993.421729,-1.098563,-993.386211, 1.099443,993.457247,993.421729
  98, 0.036405, 0.000894,992.323173,-1.098547,-992.286769, 1.099441,992.359578,992.323173
  99, 0.037306, 0.000909,991.224634,-1.098531,-991.187328, 1.099440,991.261940,991.224634
 100, 0.038222, 0.000923,990.126111,-1.098515,-990.087889, 1.099439,990.164333,990.126111
 101, 0.039153, 0.000938,989.027604,-1.098499,-988.988451, 1.099437,989.066757,989.027604
 102, 0.040099, 0.000953,987.929113,-1.098482,-987.889015, 1.099436,987.969212,987.929113
 103, 0.041060, 0.000969,986.830639,-1.098466,-986.789580, 1.099434,986.871699,986.830639
