q,f,df
   0,-5000.168117, 4.997855
   1,-4995.170272, 4.997834
   2,-4990.172449, 4.997813
   3,-4985.174646, 4.997792
   4,-4980.176865, 4.997771
   5,-4975.179105, 4.997749
   6,-4970.181367, 4.997727
   7,-4965.183651, 4.997705
   8,-4960.185957, 4.997683
   9,-4955.188285, 4.997660
  10,-4950.190636, 4.997637
  11,-4945.193010, 4.997614
  12,-4940.195408, 4.997591
  13,-4935.197829, 4.997567
  14,-4930.200273, 4.997544
  15,-4925.202742, 4.997519
  16,-4920.205234, 4.997495
  17,-4915.207752, 4.997470
  18,-4910.210294, 4.997445
  19,-4905.212861, 4.997420
  20,-4900.215453, 4.997395
  21,-4895.218071, 4.997369
  22,-4890.220715, 4.997343
  23,-4885.223385, 4.997317
  24,-4880.226082, 4.997290
  25,-4875.228805, 4.997263
  26,-4870.231555, 4.997236
  27,-4865.234333, 4.997209
  28,-4860.237138, 4.997181
  29,-4855.239971, 4.997153
  30,-4850.242833, 4.997124
  31,-4845.245723, 4.997096
  32,-4840.248642, 4.997067
  33,-4835.251590, 4.997037
  34,-4830.254567, 4.997008
  35,-4825.257574, 4.996978
  36,-4820.260612, 4.996947
  37,-4815.263680, 4.996917
  38,-4810.266778, 4.996886
  39,-4805.269908, 4.996855
  40,-4800.273069, 4.996823
  41,-4795.276262, 4.996791
  42,-4790.279487, 4.996759
  43,-4785.282744, 4.996726
  44,-4780.286034, 4.996693
  45,-4775.289358, 4.996660
  46,-4770.292714, 4.996626
  47,-4765.296105, 4.996592
  48,-4760.299530, 4.996558
  49,-4755.302990, 4.996523
  50,-4750.306484, 4.996488
  51,-4745.310014, 4.996452
  52,-4740.313579, 4.996417
  53,-4735.317181, 4.996380
  54,-4730.320819, 4.996344
  55,-4725.324494, 4.996307
  56,-4720.328206, 4.996269
  57,-4715.331955, 4.996231
  58,-4710.335743, 4.996193
  59,-4705.339569, 4.996155
  60,-4700.343434, 4.996115
  61,-4695.347339, 4.996076
  62,-4690.351282, 4.996036
  63,-4685.355266, 4.995996
  64,-4680.359291, 4.995955
  65,-4675.363356, 4.995914
  66,-4670.367463, 4.995873
  67,-4665.371611, 4.995831
  68,-4660.375802, 4.995788
  69,-4655.380035, 4.995745
  70,-4650.384311, 4.995702
  71,-4645.388631, 4.995658
  72,-4640.392995, 4.995614
  73,-4635.397403, 4.995569
  74,-4630.401856, 4.995524
  75,-4625.406355, 4.995479
  76,-4620.410899, 4.995433
  77,-4615.415490, 4.995386
  78,-4610.420127, 4.995339
  79,-4605.424812, 4.995292
  80,-4600.429544, 4.995244
  81,-4595.434325, 4.995195
  82,-4590.439154, 4.995146
  83,-4585.444033, 4.995097
  84,-4580.448961, 4.995047
  85,-4575.453940, 4.994996
  86,-4570.458969, 4.994945
  87,-4565.464050, 4.994894
  88,-4560.469182, 4.994841
  89,-4555.474367, 4.994789
  90,-4550.479605, 4.994736
  91,-4545.484896, 4.994682
  92,-4540.490241, 4.994628
  93,-4535.495640, 4.994573
  94,-4530.501095, 4.994518
  95,-4525.506605, 4.994462
  96,-4520.512171, 4.994405
  97,-4515.517794, 4.994348
  98,-4510.523475, 4.994291
  99,-4505.529213, 4.994233
 100,-4500.535009, 4.994174
 101,-4495.540865, 4.994115
 102,-4490.546780, 4.994055
 103,-4485.552756, 4.993994
 104,-4480.558793, 4.993933
 105,-4475.564890, 4.993871
 106,-4470.571050, 4.993809
 107,-4465.577273, 4.993746
 108,-4460.583559, 4.993682
 109,-4455.589909, 4.993618
 110,-4450.596324, 4.993553
 111,-4445.602803, 4.993487
 112,-4440.609349, 4.993421
 113,-4435.615961, 4.993354
 114,-4430.622640, 4.993287
 115,-4425.629387, 4.993219
 116,-4420.636203, 4.993150
 117,-4415.643088, 4.993080
 118,-4410.650043, 4.993010
 119,-4405.657068, 4.992939
 120,-4400.664165, 4.992868
 121,-4395.671333, 4.992795
 122,-4390.678574, 4.992722
 123,-4385.685889, 4.992648
 124,-4380.693278, 4.992574
 125,-4375.700741, 4.992499
 126,-4370.708280, 4.992423
 127,-4365.715896, 4.992346
 128,-4360.723588, 4.992269
 129,-4355.731358, 4.992191
 130,-4350.739207, 4.992112
 131,-4345.747135, 4.992032
 132,-4340.755143, 4.991952
 133,-4335.763232, 4.991870
 134,-4330.771403, 4.991788
 135,-4325.779656, 4.991705
 136,-4320.787992, 4.991622
 137,-4315.796413, 4.991537
 138,-4310.804918, 4.991452
 139,-4305.813509, 4.991366
 140,-4300.822186, 4.991279
 141,-4295.830951, 4.991191
 142,-4290.839803, 4.991103
 143,-4285.848745, 4.991013
 144,-4280.857777, 4.990923
 145,-4275.866899, 4.990832
 146,-4270.876113, 4.990740
 147,-4265.885419, 4.990647
 148,-4260.894819, 4.990553
 149,-4255.904313, 4.990459
 150,-4250.913902, 4.990363
 151,-4245.923587, 4.990267
 152,-4240.933369, 4.990169
 153,-4235.943249, 4.990071
 154,-4230.953227, 4.989972
 155,-4225.963305, 4.989872
 156,-4220.973484, 4.989771
 157,-4215.983765, 4.989668
 158,-4210.994148, 4.989565
 159,-4206.004634, 4.989461
 160,-4201.015225, 4.989356
 161,-4196.025922, 4.989250
 162,-4191.036724, 4.989144
 163,-4186.047635, 4.989036
 164,-4181.058654, 4.988927
 165,-4176.069782, 4.988817
 166,-4171.081021, 4.988706
 167,-4166.092371, 4.988594
 168,-4161.103834, 4.988481
 169,-4156.115410, 4.988366
 170,-4151.127101, 4.988251
