q,h,dh,l,dl,f,df,s,m
   0, 0.000000, 0.000000,5000.168117,-4.997855,-5000.168117, 4.997855,5000.168117,5000.168117
   1, 0.000003, 0.000005,4995.170275,-4.997829,-4995.170272, 4.997834,4995.170278,4995.170275
   2, 0.000010, 0.000010,4990.172459,-4.997803,-4990.172449, 4.997813,4990.172470,4990.172459
   3, 0.000023, 0.000016,4985.174670,-4.997776,-4985.174646, 4.997792,4985.174693,4985.174670
   4, 0.000042, 0.000021,4980.176907,-4.997750,-4980.176865, 4.997771,4980.176949,4980.176907
   5, 0.000066, 0.000027,4975.179171,-4.997723,-4975.179105, 4.997749,4975.179236,4975.179171
   6, 0.000095, 0.000032,4970.181462,-4.997695,-4970.181367, 4.997727,4970.181557,4970.181462
   7, 0.000130, 0.000038,4965.183780,-4.997668,-4965.183651, 4.997705,4965.183910,4965.183780
   8, 0.000170, 0.000043,4960.186127,-4.997640,-4960.185957, 4.997683,4960.186297,4960.186127
   9, 0.000216, 0.000049,4955.188501,-4.997611,-4955.188285, 4.997660,4955.188717,4955.188501
  10, 0.000268, 0.000055,4950.190904,-4.997583,-4950.190636, 4.997637,4950.191171,4950.190904
  11, 0.000325, 0.000060,4945.193335,-4.997554,-4945.193010, 4.997614,4945.193660,4945.193335
  12, 0.000388, 0.000066,4940.195796,-4.997525,-4940.195408, 4.997591,4940.196184,4940.195796
  13, 0.000457, 0.000072,4935.198286,-4.997495,-4935.197829, 4.997567,4935.198743,4935.198286
  14, 0.000532, 0.000078,4930.200805,-4.997465,-4930.200273, 4.997544,4930.201338,4930.200805
  15, 0.000613, 0.000084,4925.203355,-4.997435,-4925.202742, 4.997519,4925.203968,4925.203355
  16, 0.000701, 0.000090,4920.205935,-4.997405,-4920.205234, 4.997495,4920.206636,4920.205935
  17, 0.000794, 0.000096,4915.208546,-4.997374,-4915.207752, 4.997470,4915.209339,4915.208546
  18, 0.000893, 0.000103,4910.211187,-4.997343,-4910.210294, 4.997445,4910.212080,4910.211187
  19, 0.000999, 0.000109,4905.213860,-4.997311,-4905.212861, 4.997420,4905.214859,4905.213860
  20, 0.001111, 0.000115,4900.216565,-4.997279,-4900.215453, 4.997395,4900.217676,4900.216565
  21, 0.001230, 0.000122,4895.219301,-4.997247,-4895.218071, 4.997369,4895.220531,4895.219301
  22, 0.001355, 0.000128,4890.222070,-4.997215,-4890.220715, 4.997343,4890.223425,4890.222070
  23, 0.001487, 0.000135,4885.224872,-4.997182,-4885.223385, 4.997317,4885.226359,4885.224872
  24, 0.001625, 0.000142,4880.227707,-4.997149,-4880.226082, 4.997290,4880.229332,4880.227707
  25, 0.001770, 0.000148,4875.230575,-4.997115,-4875.228805, 4.997263,4875.232345,4875.230575
  26, 0.001922, 0.000155,4870.233477,-4.997081,-4870.231555, 4.997236,4870.235399,4870.233477
  27, 0.002080, 0.000162,4865.236413,-4.997047,-4865.234333, 4.997209,4865.238494,4865.236413
  28, 0.002246, 0.000169,4860.239384,-4.997012,-4860.237138, 4.997181,4860.241630,4860.239384
  29, 0.002418, 0.000176,4855.242390,-4.996977,-4855.239971, 4.997153,4855.244808,4855.242390
  30, 0.002598, 0.000183,4850.245431,-4.996941,-4850.242833, 4.997124,4850.248029,4850.245431
  31, 0.002785, 0.000190,4845.248508,-4.996905,-4845.245723, 4.997096,4845.251293,4845.248508
  32, 0.002979, 0.000198,4840.251621,-4.996869,-4840.248642, 4.997067,4840.254600,4840.251621
  33, 0.003180, 0.000205,4835.254770,-4.996832,-4835.251590, 4.997037,4835.257950,4835.254770
  34, 0.003389, 0.000212,4830.257956,-4.996795,-4830.254567, 4.997008,4830.261345,4830.257956
  35, 0.003605, 0.000220,4825.261180,-4.996758,-4825.257574, 4.996978,4825.264785,4825.261180
  36, 0.003829, 0.000228,4820.264441,-4.996720,-4820.260612, 4.996947,4820.268270,4820.264441
  37, 0.004061, 0.000235,4815.267740,-4.996682,-4815.263680, 4.996917,4815.271801,4815.267740
  38, 0.004300, 0.000243,4810.271078,-4.996643,-4810.266778, 4.996886,4810.275377,4810.271078
  39, 0.004547, 0.000251,4805.274454,-4.996604,-4805.269908, 4.996855,4805.279001,4805.274454
  40, 0.004801, 0.000259,4800.277870,-4.996564,-4800.273069, 4.996823,4800.282672,4800.277870
  41, 0.005064, 0.000267,4795.281326,-4.996524,-4795.276262, 4.996791,4795.286390,4795.281326
  42, 0.005335, 0.000275,4790.284822,-4.996484,-4790.279487, 4.996759,4790.290157,4790.284822
  43, 0.005614, 0.000283,4785.288358,-4.996443,-4785.282744, 4.996726,4785.293972,4785.288358
  44, 0.005901, 0.000291,4780.291935,-4.996402,-4780.286034, 4.996693,4780.297837,4780.291935
  45, 0.006197, 0.000300,4775.295554,-4.996360,-4775.289358, 4.996660,4775.301751,4775.295554
  46, 0.006501, 0.000308,4770.299215,-4.996318,-4770.292714, 4.996626,4770.305716,4770.299215
  47, 0.006813, 0.000317,4765.302918,-4.996276,-4765.296105, 4.996592,4765.309731,4765.302918
  48, 0.007134, 0.000325,4760.306664,-4.996233,-4760.299530, 4.996558,4760.313798,4760.306664
  49, 0.007464, 0.000334,4755.310453,-4.996189,-4755.302990, 4.996523,4755.317917,4755.310453
  50, 0.007802, 0.000343,4750.314286,-4.996145,-4750.306484, 4.996488,4750.322088,4750.314286
  51, 0.008150, 0.000352,4745.318163,-4.996101,-4745.310014, 4.996452,4745.326313,4745.318163
  52, 0.008506, 0.000361,4740.322085,-4.996056,-4740.313579, 4.996417,4740.330591,4740.322085
  53, 0.008871, 0.000370,4735.326052,-4.996010,-4735.317181, 4.996380,4735.334923,4735.326052
  54, 0.009246, 0.000379,4730.330064,-4.995965,-4730.320819, 4.996344,4730.339310,4730.330064
  55, 0.009629, 0.000388,4725.334123,-4.995918,-4725.324494, 4.996307,4725.343752,4725.334123
  56, 0.010022, 0.000398,4720.338228,-4.995871,-4720.328206, 4.996269,4720.348250,4720.338228
  57, 0.010425, 0.000407,4715.342380,-4.995824,-4715.331955, 4.996231,4715.352805,4715.342380
  58, 0.010837, 0.000417,4710.346580,-4.995776,-4710.335743, 4.996193,4710.357417,4710.346580
  59, 0.011258, 0.000427,4705.350828,-4.995728,-4705.339569, 4.996155,4705.362086,4705.350828
  60, 0.011690, 0.000436,4700.355124,-4.995679,-4700.343434, 4.996115,4700.366814,4700.355124
  61, 0.012131, 0.000446,4695.359470,-4.995630,-4695.347339, 4.996076,4695.371601,4695.359470
  62, 0.012582, 0.000456,4690.363865,-4.995580,-4690.351282, 4.996036,4690.376447,4690.363865
  63, 0.013044, 0.000466,4685.368310,-4.995530,-4685.355266, 4.995996,4685.381353,4685.368310
  64, 0.013515, 0.000477,4680.372806,-4.995479,-4680.359291, 4.995955,4680.386321,4680.372806
  65, 0.013997, 0.000487,4675.377353,-4.995427,-4675.363356, 4.995914,4675.391349,4675.377353
  66, 0.014489, 0.000497,4670.381951,-4.995375,-4670.367463, 4.995873,4670.396440,4670.381951
  67, 0.014991, 0.000508,4665.386602,-4.995323,-4665.371611, 4.995831,4665.401593,4665.386602
  68, 0.015504, 0.000518,4660.391306,-4.995270,-4660.375802, 4.995788,4660.406810,4660.391306
  69, 0.016028, 0.000529,4655.396063,-4.995216,-4655.380035, 4.995745,4655.412091,4655.396063
  70, 0.016563, 0.000540,4650.400874,-4.995162,-4650.384311, 4.995702,4650.417436,4650.400874
  71, 0.017108, 0.000551,4645.405739,-4.995107,-4645.388631, 4.995658,4645.422847,4645.405739
  72, 0.017665, 0.000562,4640.410659,-4.995052,-4640.392995, 4.995614,4640.428324,4640.410659
  73, 0.018232, 0.000573,4635.415635,-4.994996,-4635.397403, 4.995569,4635.433868,4635.415635
  74, 0.018811, 0.000585,4630.420667,-4.994940,-4630.401856, 4.995524,4630.439479,4630.420667
  75, 0.019402, 0.000596,4625.425756,-4.994883,-4625.406355, 4.995479,4625.445158,4625.425756
  76, 0.020003, 0.000608,4620.430902,-4.994825,-4620.410899, 4.995433,4620.450906,4620.430902
  77, 0.020617, 0.000619,4615.436106,-4.994767,-4615.415490, 4.995386,4615.456723,4615.436106
  78, 0.021242, 0.000631,4610.441369,-4.994708,-4610.420127, 4.995339,4610.462611,4610.441369
  79, 0.021879, 0.000643,4605.446691,-4.994649,-4605.424812, 4.995292,4605.468570,4605.446691
  80, 0.022528, 0.000655,4600.452072,-4.994588,-4600.429544, 4.995244,4600.474600,4600.452072
  81, 0.023189, 0.000667,4595.457514,-4.994528,-4595.434325, 4.995195,4595.480703,4595.457514
  82, 0.023863, 0.000679,4590.463017,-4.994467,-4590.439154, 4.995146,4590.486879,4590.463017
  83, 0.024548, 0.000692,4585.468581,-4.994405,-4585.444033, 4.995097,4585.493129,4585.468581
  84, 0.025246, 0.000704,4580.474208,-4.994342,-4580.448961, 4.995047,4580.499454,4580.474208
  85, 0.025957, 0.000717,4575.479897,-4.994279,-4575.453940, 4.994996,4575.505854,4575.479897
  86, 0.026681, 0.000730,4570.485650,-4.994215,-4570.458969, 4.994945,4570.512330,4570.485650
  87, 0.027417, 0.000743,4565.491467,-4.994151,-4565.464050, 4.994894,4565.518884,4565.491467
  88, 0.028166, 0.000756,4560.497349,-4.994086,-4560.469182, 4.994841,4560.525515,4560.497349
  89, 0.028929, 0.000769,4555.503296,-4.994020,-4555.474367, 4.994789,4555.532225,4555.503296
  90, 0.029705, 0.000782,4550.509309,-4.993953,-4550.479605, 4.994736,4550.539014,4550.509309
  91, 0.030494, 0.000796,4545.515390,-4.993886,-4545.484896, 4.994682,4545.545883,4545.515390
  92, 0.031297, 0.000810,4540.521537,-4.993818,-4540.490241, 4.994628,4540.552834,4540.521537
  93, 0.032113, 0.000823,4535.527753,-4.993750,-4535.495640, 4.994573,4535.559866,4535.527753
  94, 0.032943, 0.000837,4530.534038,-4.993681,-4530.501095, 4.994518,4530.566981,4530.534038
  95, 0.033787, 0.000851,4525.540392,-4.993611,-4525.506605, 4.994462,4525.574179,4525.540392
  96, 0.034645, 0.000865,4520.546817,-4.993540,-4520.512171, 4.994405,4520.581462,4520.546817
  97, 0.035518, 0.000880,4515.553312,-4.993469,-4515.517794, 4.994348,4515.588830,4515.553312
  98, 0.036405, 0.000894,4510.559879,-4.993397,-4510.523475, 4.994291,4510.596284,4510.559879
  99, 0.037306, 0.000909,4505.566519,-4.993324,-4505.529213, 4.994233,4505.603825,4505.566519
 100, 0.038222, 0.000923,4500.573231,-4.993251,-4500.535009, 4.994174,4500.611454,4500.573231
 101, 0.039153, 0.000938,4495.580018,-4.993176,-4495.540865, 4.994115,4495.619171,4495.580018
 102, 0.040099, 0.000953,4490.586879,-4.993101,-4490.546780, 4.994055,4490.626978,4490.586879
 103, 0.041060, 0.000969,4485.593816,-4.993026,-4485.552756, 4.993994,4485.634875,4485.593816
 104, 0.042036, 0.000984,4480.600828,-4.992949,-4480.558793, 4.993933,4480.642864,4480.600828
 105, 0.043027, 0.000999,4475.607918,-4.992872,-4475.564890, 4.993871,4475.650945,4475.607918
 106, 0.044034, 0.001015,4470.615085,-4.992794,-4470.571050, 4.993809,4470.659119,4470.615085
 107, 0.045057, 0.001031,4465.622330,-4.992715,-4465.577273, 4.993746,4465.667388,4465.622330
 108, 0.046096, 0.001047,4460.629655,-4.992635,-4460.583559, 4.993682,4460.675751,4460.629655
 109, 0.047151, 0.001063,4455.637060,-4.992555,-4455.589909, 4.993618,4455.684211,4455.637060
 110, 0.048222, 0.001079,4450.644545,-4.992474,-4450.596324, 4.993553,4450.692767,4450.644545
 111, 0.049309, 0.001096,4445.652113,-4.992392,-4445.602803, 4.993487,4445.701422,4445.652113
 112, 0.050413, 0.001112,4440.659762,-4.992309,-4440.609349, 4.993421,4440.710175,4440.659762
 113, 0.051534, 0.001129,4435.667495,-4.992225,-4435.615961, 4.993354,4435.719029,4435.667495
 114, 0.052671, 0.001146,4430.675312,-4.992141,-4430.622640, 4.993287,4430.727983,4430.675312
 115, 0.053826, 0.001163,4425.683213,-4.992056,-4425.629387, 4.993219,4425.737039,4425.683213
 116, 0.054997, 0.001180,4420.691201,-4.991970,-4420.636203, 4.993150,4420.746198,4420.691201
 117, 0.056186, 0.001198,4415.699274,-4.991883,-4415.643088, 4.993080,4415.755461,4415.699274
 118, 0.057393, 0.001215,4410.707436,-4.991795,-4410.650043, 4.993010,4410.764829,4410.707436
 119, 0.058617, 0.001233,4405.715685,-4.991706,-4405.657068, 4.992939,4405.774303,4405.715685
 120, 0.059859, 0.001251,4400.724024,-4.991616,-4400.664165, 4.992868,4400.783883,4400.724024
 121, 0.061120, 0.001269,4395.732453,-4.991526,-4395.671333, 4.992795,4395.793572,4395.732453
 122, 0.062398, 0.001288,4390.740972,-4.991435,-4390.678574, 4.992722,4390.803371,4390.740972
 123, 0.063695, 0.001306,4385.749584,-4.991342,-4385.685889, 4.992648,4385.813279,4385.749584
 124, 0.065010, 0.001325,4380.758288,-4.991249,-4380.693278, 4.992574,4380.823298,4380.758288
 125, 0.066345, 0.001344,4375.767086,-4.991155,-4375.700741, 4.992499,4375.833430,4375.767086
 126, 0.067698, 0.001363,4370.775978,-4.991060,-4370.708280, 4.992423,4370.843676,4370.775978
 127, 0.069070, 0.001382,4365.784966,-4.990964,-4365.715896, 4.992346,4365.854036,4365.784966
 128, 0.070462, 0.001401,4360.794050,-4.990867,-4360.723588, 4.992269,4360.864511,4360.794050
 129, 0.071873, 0.001421,4355.803231,-4.990770,-4355.731358, 4.992191,4355.875104,4355.803231
 130, 0.073304, 0.001441,4350.812511,-4.990671,-4350.739207, 4.992112,4350.885814,4350.812511
 131, 0.074754, 0.001461,4345.821890,-4.990571,-4345.747135, 4.992032,4345.896644,4345.821890
 132, 0.076225, 0.001481,4340.831369,-4.990471,-4340.755143, 4.991952,4340.907594,4340.831369
 133, 0.077716, 0.001501,4335.840949,-4.990369,-4335.763232, 4.991870,4335.918665,4335.840949
 134, 0.079228, 0.001522,4330.850631,-4.990266,-4330.771403, 4.991788,4330.929859,4330.850631
 135, 0.080760, 0.001543,4325.860416,-4.990163,-4325.779656, 4.991705,4325.941177,4325.860416
 136, 0.082314, 0.001564,4320.870306,-4.990058,-4320.787992, 4.991622,4320.952619,4320.870306
 137, 0.083888, 0.001585,4315.880301,-4.989953,-4315.796413, 4.991537,4315.964188,4315.880301
 138, 0.085483, 0.001606,4310.890401,-4.989846,-4310.804918, 4.991452,4310.975885,4310.890401
 139, 0.087100, 0.001628,4305.900609,-4.989738,-4305.813509, 4.991366,4305.987709,4305.900609
 140, 0.088739, 0.001650,4300.910925,-4.989630,-4300.822186, 4.991279,4300.999664,4300.910925
 141, 0.090400, 0.001672,4295.921350,-4.989520,-4295.830951, 4.991191,4296.011750,4295.921350
 142, 0.092083, 0.001694,4290.931886,-4.989409,-4290.839803, 4.991103,4291.023969,4290.931886
 143, 0.093788, 0.001716,4285.942533,-4.989297,-4285.848745, 4.991013,4286.036320,4285.942533
 144, 0.095515, 0.001739,4280.953292,-4.989184,-4280.857777, 4.990923,4281.048807,4280.953292
 145, 0.097266, 0.001762,4275.964165,-4.989070,-4275.866899, 4.990832,4276.061430,4275.964165
 146, 0.099039, 0.001785,4270.975152,-4.988955,-4270.876113, 4.990740,4271.074191,4270.975152
 147, 0.100836, 0.001808,4265.986255,-4.988839,-4265.885419, 4.990647,4266.087091,4265.986255
 148, 0.102656, 0.001832,4260.997475,-4.988722,-4260.894819, 4.990553,4261.100130,4260.997475
 149, 0.104499, 0.001856,4256.008812,-4.988603,-4255.904313, 4.990459,4256.113311,4256.008812
 150, 0.106367, 0.001879,4251.020269,-4.988484,-4250.913902, 4.990363,4251.126635,4251.020269
